dt_created,dt_updated,dt_filename,advertiser_id,country_name,insertion_order_name,insertion_order_id,unique_reach_total_reach,unique_reach_click_reach,unique_reach_impression_reach,impressions,unique_reach_average_impression_frequency,fetch_date
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018693542,900760,346,900760,3111084,3.45,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1017941969,600160,9628,600131,2165170,3.61,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1019111029,584352,304,584352,2181537,3.73,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1017954594,828004,32262,827969,5031021,6.08,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018689428,1695887,59247,1695887,7738351,4.56,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018399780,4797627,31213,4796396,7017645,1.46,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018756985,885404,394,885404,2770350,3.13,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018763678,115273,565,115240,422336,3.66,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018293922,724431,20873,724431,3984948,5.5,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018746171,103306,,103306,182051,1.76,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018746455,95460,1416,95345,259349,2.72,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1017779427,2035829,49312,2035767,7209816,3.54,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018682424,132629,3097,132629,463199,3.49,26-11-2024
